Provinces,ID,Year,Interprovincial exports of total products,International exports of total products,Panel_ID
Newfoundland and Labrador,1.0,2007,8718.0,11966.7,1.0_2007
Newfoundland and Labrador,1.0,2008,9087.0,15114.3,1.0_2008
Newfoundland and Labrador,1.0,2009,5553.7,9253.0,1.0_2009
Newfoundland and Labrador,1.0,2010,7363.0,10748.1,1.0_2010
Newfoundland and Labrador,1.0,2011,8804.5,13345.4,1.0_2011
Newfoundland and Labrador,1.0,2012,9671.3,10419.4,1.0_2012
Newfoundland and Labrador,1.0,2013,7770.0,13614.8,1.0_2013
Newfoundland and Labrador,1.0,2014,6580.9,12364.5,1.0_2014
Newfoundland and Labrador,1.0,2015,4978.3,8900.0,1.0_2015
Newfoundland and Labrador,1.0,2016,4627.5,9238.2,1.0_2016
Newfoundland and Labrador,1.0,2017,4903.9,11425.3,1.0_2017
Newfoundland and Labrador,1.0,2018,4377.4,15227.2,1.0_2018
Newfoundland and Labrador,1.0,2019,4288.7,16402.7,1.0_2019
Newfoundland and Labrador,1.0,2020,2721.5,12519.3,1.0_2020
Prince Edward Island,2.0,2007,1133.0,1072.4,2.0_2007
Prince Edward Island,2.0,2008,1165.0,1095.5,2.0_2008
Prince Edward Island,2.0,2009,1247.5,988.2,2.0_2009
Prince Edward Island,2.0,2010,1326.9,929.4,2.0_2010
Prince Edward Island,2.0,2011,1393.4,989.3,2.0_2011
Prince Edward Island,2.0,2012,1495.0,925.4,2.0_2012
Prince Edward Island,2.0,2013,1612.6,1000.1,2.0_2013
Prince Edward Island,2.0,2014,1555.2,1161.0,2.0_2014
Prince Edward Island,2.0,2015,1623.1,1354.0,2.0_2015
Prince Edward Island,2.0,2016,1666.4,1399.4,2.0_2016
Prince Edward Island,2.0,2017,1789.1,1463.2,2.0_2017
Prince Edward Island,2.0,2018,1779.7,1542.1,2.0_2018
Prince Edward Island,2.0,2019,1827.9,1625.4,2.0_2019
Prince Edward Island,2.0,2020,1658.9,1573.0,2.0_2020
Nova Scotia,3.0,2007,7612.0,6986.5,3.0_2007
Nova Scotia,3.0,2008,8139.0,7490.9,3.0_2008
Nova Scotia,3.0,2009,7342.1,5890.0,3.0_2009
Nova Scotia,3.0,2010,7648.9,6374.6,3.0_2010
Nova Scotia,3.0,2011,8142.2,6750.5,3.0_2011
Nova Scotia,3.0,2012,8042.6,6651.8,3.0_2012
Nova Scotia,3.0,2013,8508.3,6243.7,3.0_2013
Nova Scotia,3.0,2014,7784.6,6083.1,3.0_2014
Nova Scotia,3.0,2015,7796.6,6486.3,3.0_2015
Nova Scotia,3.0,2016,7690.7,6555.0,3.0_2016
Nova Scotia,3.0,2017,8056.1,6870.6,3.0_2017
Nova Scotia,3.0,2018,8132.1,7318.1,3.0_2018
Nova Scotia,3.0,2019,8295.3,8326.5,3.0_2019
Nova Scotia,3.0,2020,7524.4,7086.7,3.0_2020
New Brunswick,4.0,2007,9869.0,12038.6,4.0_2007
New Brunswick,4.0,2008,10155.0,13831.6,4.0_2008
New Brunswick,4.0,2009,9515.7,10755.2,4.0_2009
New Brunswick,4.0,2010,10479.5,12210.5,4.0_2010
New Brunswick,4.0,2011,12082.3,13503.7,4.0_2011
New Brunswick,4.0,2012,11244.9,14262.9,4.0_2012
New Brunswick,4.0,2013,11652.9,15009.3,4.0_2013
New Brunswick,4.0,2014,10716.1,14122.3,4.0_2014
New Brunswick,4.0,2015,10936.1,12600.5,4.0_2015
New Brunswick,4.0,2016,11205.2,11599.7,4.0_2016
New Brunswick,4.0,2017,11824.6,13283.4,4.0_2017
New Brunswick,4.0,2018,12153.6,13050.1,4.0_2018
New Brunswick,4.0,2019,12259.2,13419.2,4.0_2019
New Brunswick,4.0,2020,11129.8,10265.0,4.0_2020
Quebec,5.0,2007,60234.0,88042.2,5.0_2007
Quebec,5.0,2008,61379.0,90196.4,5.0_2008
Quebec,5.0,2009,61685.4,76536.5,5.0_2009
Quebec,5.0,2010,65236.7,77421.2,5.0_2010
Quebec,5.0,2011,68260.8,83231.9,5.0_2011
Quebec,5.0,2012,68861.0,85053.6,5.0_2012
Quebec,5.0,2013,68945.9,88959.0,5.0_2013
Quebec,5.0,2014,67946.9,99373.4,5.0_2014
Quebec,5.0,2015,69602.6,105002.8,5.0_2015
Quebec,5.0,2016,71750.3,105776.2,5.0_2016
Quebec,5.0,2017,74018.6,112194.3,5.0_2017
Quebec,5.0,2018,77849.0,121101.2,5.0_2018
Quebec,5.0,2019,82581.1,122129.2,5.0_2019
Quebec,5.0,2020,78034.9,112784.6,5.0_2020
Ontario,6.0,2007,109999.6,216635.4,6.0_2007
Ontario,6.0,2008,111817.2,205699.2,6.0_2008
Ontario,6.0,2009,107098.8,166953.2,6.0_2009
Ontario,6.0,2010,113440.8,187272.7,6.0_2010
Ontario,6.0,2011,119807.7,202973.9,6.0_2011
Ontario,6.0,2012,121070.0,211485.3,6.0_2012
Ontario,6.0,2013,132088.2,212877.9,6.0_2013
Ontario,6.0,2014,131003.4,231454.1,6.0_2014
Ontario,6.0,2015,130170.5,256506.5,6.0_2015
Ontario,6.0,2016,130008.0,266650.9,6.0_2016
Ontario,6.0,2017,136124.1,264488.4,6.0_2017
Ontario,6.0,2018,141803.7,276554.4,6.0_2018
Ontario,6.0,2019,146718.5,291476.5,6.0_2019
Ontario,6.0,2020,143913.5,264016.4,6.0_2020
Manitoba,7.0,2007,14450.0,15323.8,7.0_2007
Manitoba,7.0,2008,15316.0,15700.1,7.0_2008
Manitoba,7.0,2009,15155.3,12728.4,7.0_2009
Manitoba,7.0,2010,15748.5,12828.2,7.0_2010
Manitoba,7.0,2011,16679.4,13987.7,7.0_2011
Manitoba,7.0,2012,17488.6,14195.6,7.0_2012
Manitoba,7.0,2013,18317.2,14156.5,7.0_2013
Manitoba,7.0,2014,18040.1,15344.5,7.0_2014
Manitoba,7.0,2015,17844.2,15105.9,7.0_2015
Manitoba,7.0,2016,17664.0,14943.8,7.0_2016
Manitoba,7.0,2017,19394.5,15255.4,7.0_2017
Manitoba,7.0,2018,19707.8,16170.6,7.0_2018
Manitoba,7.0,2019,20861.4,15862.5,7.0_2019
Manitoba,7.0,2020,19328.1,15668.5,7.0_2020
Saskatchewan,8.0,2007,15010.0,19392.2,8.0_2007
Saskatchewan,8.0,2008,18218.0,28967.6,8.0_2008
Saskatchewan,8.0,2009,15369.0,24433.1,8.0_2009
Saskatchewan,8.0,2010,16101.3,26144.2,8.0_2010
Saskatchewan,8.0,2011,17991.6,33786.6,8.0_2011
Saskatchewan,8.0,2012,17986.5,34588.9,8.0_2012
Saskatchewan,8.0,2013,19267.1,32611.1,8.0_2013
Saskatchewan,8.0,2014,19345.8,34663.9,8.0_2014
Saskatchewan,8.0,2015,18256.5,32325.0,8.0_2015
Saskatchewan,8.0,2016,17080.9,27909.6,8.0_2016
Saskatchewan,8.0,2017,18005.7,31120.5,8.0_2017
Saskatchewan,8.0,2018,19034.8,33644.0,8.0_2018
Saskatchewan,8.0,2019,19017.4,34477.4,8.0_2019
Saskatchewan,8.0,2020,16868.8,32134.2,8.0_2020
Alberta,9.0,2007,53360.0,88199.6,9.0_2007
Alberta,9.0,2008,57867.0,111903.7,9.0_2008
Alberta,9.0,2009,57966.3,73425.0,9.0_2009
Alberta,9.0,2010,60614.6,80059.1,9.0_2010
Alberta,9.0,2011,64258.6,96639.6,9.0_2011
Alberta,9.0,2012,63970.1,98725.5,9.0_2012
Alberta,9.0,2013,71840.4,109328.5,9.0_2013
Alberta,9.0,2014,73610.0,128051.1,9.0_2014
Alberta,9.0,2015,66097.4,95844.4,9.0_2015
Alberta,9.0,2016,63656.3,85949.2,9.0_2016
Alberta,9.0,2017,69185.6,103007.4,9.0_2017
Alberta,9.0,2018,74585.0,115490.1,9.0_2018
Alberta,9.0,2019,74407.0,122747.2,9.0_2019
Alberta,9.0,2020,63479.1,92252.5,9.0_2020
British Columbia,9.0,2007,31321.0,46185.1,9.0_2007
British Columbia,9.0,2008,33200.0,46658.5,9.0_2008
British Columbia,9.0,2009,31906.5,37653.2,9.0_2009
British Columbia,9.0,2010,34135.3,41961.0,9.0_2010
British Columbia,9.0,2011,37293.1,45888.2,9.0_2011
British Columbia,9.0,2012,37936.7,44814.9,9.0_2012
British Columbia,9.0,2013,39502.8,47893.6,9.0_2013
British Columbia,9.0,2014,40722.3,54702.4,9.0_2014
British Columbia,9.0,2015,39688.3,56535.0,9.0_2015
British Columbia,9.0,2016,39377.6,61430.6,9.0_2016
British Columbia,9.0,2017,40736.8,68586.3,9.0_2017
British Columbia,9.0,2018,42911.0,74213.6,9.0_2018
British Columbia,9.0,2019,43457.7,72197.3,9.0_2019
British Columbia,9.0,2020,42414.3,61657.4,9.0_2020
